Txhash,Blockno,UnixTimestamp,DateTime (UTC),From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $2012.128737712/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method
0xf06025127e91fd883f742b351f27b2b330377c6b9f7ec14fcdd70978abbc4c57,18510141,1699239767,2023-11-6 3:02,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,,0,9.38E-15,1.89E-11,0.003281077,6.601949081,1901.65,,,Ty For The MEV
0xe6f9b4626d912fe355b76edf59a128e6e73c9b7d7b55b92b52e9f3804cd04bf6,18510141,1699239767,2023-11-6 3:02,0x25b71878850d008ec4237c55f0a59198bcc72b43,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,,0.029377648,0,59.11161015,0.000385897,0.776473692,1901.65,,,Transfer
0xcd4d98ab6250d78c818ae05771b883803980d8234c8ae9e360ff97cfd01afe8c,18511817,1699260095,2023-11-6 8:41,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,,0,1.52E-16,3.06E-13,0.014125585,28.42249649,1901.65,,,Ty For The MEV
0x568d076e887ef22815277b29011e97898d3ec1a128736f1ed3a0c7aad37ff457,18512272,1699265591,2023-11-6 10:13,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,,0,2.27E-16,4.57E-13,0.006613767,13.30775126,1901.65,,,Ty For The MEV
0xa7231bc05bc54a29694f5a7262cdd102d5d6e8d3c6687fc9f23d57b125439077,18512945,1699273751,2023-11-6 12:29,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,,0,2.28E-16,4.59E-13,0.00389745,7.84217038,1901.65,,,Ty For The MEV
0xf0a5d6618673d9944dfbe302725f08d224738120b257a3e8c301dbe6d304d2e5,18514420,1699291643,2023-11-6 17:27,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,,0,1.71E-16,3.44E-13,0.007422206,14.93443477,1901.65,,,Ty For The MEV
0x8ea91c2e1ace1b4c47e55cd97ea6cf01ea1a3005af5c0eb514c62b7fcb6991ef,18515039,1699299131,2023-11-6 19:32,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,,0,3.90E-17,7.85E-14,0.011487096,23.11351531,1901.65,,,Ty For The MEV
0xa133319da85f4a005532df682c13bf890f960ca5821ee4b8c720199e8bcf010f,18515343,1699302803,2023-11-6 20:33,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,,0,3.58E-16,7.20E-13,0.012464414,25.08000567,1901.65,,,Ty For The MEV
0xbcd211cdedce643e4b7379357e10aafdf3ba9d97c6ed6e39d29fe27f4f1f72fe,18517384,1699327523,2023-11-7 3:25,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,,0,9.99E-15,2.01E-11,0.00392855,7.90474763,1886.12,,,Ty For The MEV
0x02920ce2f827c0e81f412a87ece36cfe7194b3a202604ddf8415c21bb7e990ed,18517384,1699327523,2023-11-7 3:25,0x25b71878850d008ec4237c55f0a59198bcc72b43,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,,1.859253939,0,3741.058281,0.000433068,0.871389503,1886.12,,,Transfer
0x163735f2735dd457f53f19fd65791a362f2d8427bf00af37399d62150517adf0,18518001,1699334987,2023-11-7 5:29,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,,0,2.12E-16,4.27E-13,0.008871997,17.85159983,1886.12,,,Ty For The MEV
0x751b82ac0772013b583bef6ee0a50d6e67f5e4615b6f220d352e4e41cfab4a09,18518001,1699334987,2023-11-7 5:29,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,,0,1.72E-16,3.46E-13,0.007653187,15.3991965,1886.12,,,Ty For The MEV
0x3882adacc7353d4f36fcaed6e8ae04f520eeb7dcbe968e88a0608ddfd0fc4a8f,18518001,1699334987,2023-11-7 5:29,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,,50.39264142,50.39264142,101396.482,0.000449825,0.905104919,1886.12,,,Transfer
0x798a546458b4219c2af12ba231b17afea85092c1a958ccd1ba4be706ce7874c3,18518256,1699338059,2023-11-7 6:20,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,,0,9.86E-15,1.98E-11,0.011762188,23.66703721,1886.12,,,Ty For The MEV
0xd9c5aef0b8455c4fade38b5cea935dd47140ced4752bac8490a73595f126bcf6,18518256,1699338059,2023-11-7 6:20,0x25b71878850d008ec4237c55f0a59198bcc72b43,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,,0.778654795,0,1566.753691,0.000443012,0.891396244,1886.12,,,Transfer
0x999b26561c5527a04d4034338e9e0333f0b35cd5a7d6be26813356ac148114b0,18520188,1699361435,2023-11-7 12:50,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,,0,9.94E-15,2.00E-11,0.004212681,8.47645717,1886.12,,,Ty For The MEV
0x10991141fd8ac77e517a2fccf57fc1feb1434732bdab5997766e2bc9fc9016d3,18520188,1699361435,2023-11-7 12:50,0x25b71878850d008ec4237c55f0a59198bcc72b43,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,,0.502438575,0,1010.971095,0.000465835,0.937320509,1886.12,,,Transfer
0x4606cf1fcbbeb11791461e39a79e2154fbb0e1e96f8c7a81172823669aee0a99,18521070,1699372091,2023-11-7 15:48,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,,0,7.50E-17,1.51E-13,0.007342707,14.77447254,1886.12,,,Ty For The MEV
0x6dbef4b96c29336d771bdc8210ea04aebf17b38806567ac4b8d3fff9ade78d5b,18521776,1699380587,2023-11-7 18:09,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,,0,8.01E-15,1.61E-11,0.013383733,26.92979384,1886.12,,,Ty For The MEV
0xfb5e6b09140aefb21664f0b9104d84da7be926ae04142f85a5458571056cfa2a,18521776,1699380587,2023-11-7 18:09,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,,0,8.19E-15,1.65E-11,0.011605675,23.35211246,1886.12,,,Ty For The MEV
0x169c998d56a935b4667b896b73730c8a0817792ce794637a5b5a6b2bb14b8c8f,18521776,1699380587,2023-11-7 18:09,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,,0,8.09E-15,1.63E-11,0.011605675,23.35211246,1886.12,,,Ty For The MEV
0x8c6d1934944fa59a721fdefa42cc4ad0e20ab6f53caa76474511a0a7e9efa2d1,18521776,1699380587,2023-11-7 18:09,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,,0,7.99E-15,1.61E-11,0.011605675,23.35211246,1886.12,,,Ty For The MEV
0xf76aa5885cc37899f4c67ace3c6d98bde29194c76a39dcc730fb378a2b64b568,18521776,1699380587,2023-11-7 18:09,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,,0,7.88E-15,1.59E-11,0.011605675,23.35211246,1886.12,,,Ty For The MEV
