,incident_id,incident_date,incident_description,source_link,victim_name,contract_address,contract_name,category,subcategory,cause_title
0,1,2021-5-22,"DeFi100 coin exit scams, and runs away with $32 million in investors funds.",https://gadgets360.com/internet/news/defi100-crypto-scam-usd-32-million-rs-233-crore-2448231,DeFi100,,,Third Party Layer,Faulty operation,Faulty web development
1,1,2021-5-22,"DeFi100 coin exit scams, and runs away with $32 million in investors funds.",https://gadgets360.com/internet/news/defi100-crypto-scam-usd-32-million-rs-233-crore-2448231,DeFi100,,,Third Party Layer,Faulty operation,Compromised private key / hacked wallet
2,1,2021-5-22,"DeFi100 coin exit scams, and runs away with $32 million in investors funds.",https://www.coindesk.com/people-behind-crypto-protocol-defi100-may-have-absconded-with-32m-in-investor-funds,DeFi100,,,Third Party Layer,Faulty operation,Faulty web development
3,1,2021-5-22,"DeFi100 coin exit scams, and runs away with $32 million in investors funds.",https://www.coindesk.com/people-behind-crypto-protocol-defi100-may-have-absconded-with-32m-in-investor-funds,DeFi100,,,Third Party Layer,Faulty operation,Compromised private key / hacked wallet
4,2,2021-12-26,"Early this morning, PeckShield, a blockchain security company, issued an alert that MetaDAO had made off with 800 ETH, worth over $3.2 million at press time, in an apparent rug pull scam. MetaDAO then transferred the stolen funds to Tornado Cash, a privacy protocol that allows users to hide their Ethereum transactions and that theoretically allows for greater anonymity. ",https://cryptobriefing.com/metadao-makes-off-with-3-2m-in-rug-pull/,MetaDAO,,,Third Party Layer,Greedy / information asymmetry,Authority control or breach of promise
5,3,2021-2-8,BT Finance BT got exploited with flash loans. Around 1.5M drained. Similar to yearn finance hack.,https://github.com/OriginProtocol/security/blob/master/incidents/2021-02-09-BT-finance.md,BTFinance,0x3ec4a6cfe803ee84009ce6e1ecf419c9cb1e8af0,bVault,DeFi Protocol Layer/Design Flaw,Unsafe DeFi protocol dependency,On-chain oracle manipulation
6,3,2021-2-8,BT Finance BT got exploited with flash loans. Around 1.5M drained. Similar to yearn finance hack.,https://opensea.io/assets/ethereum/0xe18a32192ed95b0fe9d70d19e5025f103475d7ba/57896044618658097711785492504343953927315557066662158946655541218820101244713,BTFinance,0x3ec4a6cfe803ee84009ce6e1ecf419c9cb1e8af0,bVault,DeFi Protocol Layer/Design Flaw,Unsafe DeFi protocol dependency,On-chain oracle manipulation
7,3,2021-2-8,BT Finance BT got exploited with flash loans. Around 1.5M drained. Similar to yearn finance hack.,https://twitter.com/btdotfinance/status/1358989066814033920,BTFinance,0x3ec4a6cfe803ee84009ce6e1ecf419c9cb1e8af0,bVault,DeFi Protocol Layer/Design Flaw,Unsafe DeFi protocol dependency,On-chain oracle manipulation
8,3,2021-2-8,BT Finance BT got exploited with flash loans. Around 1.5M drained. Similar to yearn finance hack.,https://twitter.com/emilianobonassi/status/1358884929313140736?s=20,BTFinance,0x3ec4a6cfe803ee84009ce6e1ecf419c9cb1e8af0,bVault,DeFi Protocol Layer/Design Flaw,Unsafe DeFi protocol dependency,On-chain oracle manipulation
9,4,2021-6-29,"Via the smart contract, a hacker deposited 0.1WBNB into the vault and then manually transferred 1000BNB into the contract to trick the contract into thinking it has received 1000BNB in rewards, which resulted in the minter producing MERL rewards. (@Rekt)Merlin was hacked due to a logic flaw in MerlinStrategyalPacabnb. Merlin's smart contract is responsible for transferring the attacker's assets into Pancakeswap to get the CAKE reward. Cake rewards are directly transferred to the Cake pool for the next round of compound interest; The attacker calls getReward() function, which is the same as Bunny's vulnerability. Cack is injected in large quantities, so that the attacker can get a large number of Merlin rewards. ",https://docs.google.com/spreadsheets/d/19EQyMRdNktDOR4DbmSbLXeSGHmemnKqKVvgYvGS_1Wc/edit#gid=0,MerlinLab,0x9059f2f644402db18155b7917762823a58962397,MerlinStrategyAlpacaBNB,Third Party Layer,Faulty operation,Deployment mistake
